source_hgnc_id	source_hgnc_symbol	relation	target_hgnc_id	target_hgnc_symbol	stmt_hash	evidence_count	source_counts
6551	LEF1	DecreaseAmount	7882	NOTCH2	16491453920438490	1	"{""biopax"": 1}"
6551	LEF1	DecreaseAmount	7733	NEDD9	-858645554494543	1	"{""biopax"": 1}"
6551	LEF1	DecreaseAmount	76	ABL1	9710248019711542	2	"{""biopax"": 2}"
6551	LEF1	DecreaseAmount	7568	MYH10	12556568923707	1	"{""biopax"": 1}"
6551	LEF1	DecreaseAmount	6890	MAPRE1	7731021868957322	1	"{""biopax"": 1}"
6551	LEF1	DecreaseAmount	6850	MAP3K11	-25738604940985022	2	"{""biopax"": 2}"
6551	LEF1	DecreaseAmount	682	ARHGEF2	176650880181652	1	"{""biopax"": 1}"
6551	LEF1	DecreaseAmount	6759	MARCKS	23861404500258019	1	"{""biopax"": 1}"
6551	LEF1	DecreaseAmount	6637	LMNB1	-19060030893599720	1	"{""biopax"": 1}"
6551	LEF1	DecreaseAmount	6628	LLGL1	13624943011371805	1	"{""biopax"": 1}"
6551	LEF1	DecreaseAmount	6321	KIF3C	20181554764881120	1	"{""biopax"": 1}"
6551	LEF1	DecreaseAmount	583	APC	-18021782207612832	2	"{""reach"": 2}"
6551	LEF1	DecreaseAmount	4620	GSN	29476946605993351	1	"{""biopax"": 1}"
6551	LEF1	DecreaseAmount	443	ALS2	15206907107195948	1	"{""biopax"": 1}"
6551	LEF1	DecreaseAmount	3591	FARP1	-18711299249659767	1	"{""biopax"": 1}"
6551	LEF1	DecreaseAmount	30794	CEP57	-7683845198272351	1	"{""biopax"": 1}"
6551	LEF1	DecreaseAmount	30580	SSH2	16325356340426641	2	"{""biopax"": 2}"
6551	LEF1	DecreaseAmount	2961	DYNC1H1	19910771782882830	1	"{""biopax"": 1}"
6551	LEF1	DecreaseAmount	29515	PLEKHG2	34967974671708088	1	"{""biopax"": 1}"
6551	LEF1	DecreaseAmount	28264	PCGF5	-33092130070908092	2	"{""biopax"": 2}"
6551	LEF1	DecreaseAmount	24098	SORBS2	-24690319951355618	1	"{""biopax"": 1}"
